"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"G","Alex Cejka",6600,"Golf@Golf 05:00AM ET",46.500,"Golf"
"G","Michael Kim",6600,"Golf@Golf 05:00AM ET",88.250,"Golf"
"G","Geoff Ogilvy",6600,"Golf@Golf 05:00AM ET",78.000,"Golf"
"G","J.J. Spaun",6600,"Golf@Golf 05:00AM ET",48.250,"Golf"
"G","Richy Werenski",6500,"Golf@Golf 05:00AM ET",87.000,"Golf"
"G","Peter Malnati",6500,"Golf@Golf 05:00AM ET",73.250,"Golf"
"G","Morgan Hoffmann",6500,"Golf@Golf 05:00AM ET",26.500,"Golf"
"G","Andres Gonzales",6500,"Golf@Golf 05:00AM ET",82.500,"Golf"
"G","Cheng-Tsung Pan",6500,"Golf@Golf 05:00AM ET",34.000,"Golf"
"G","Chad Campbell",6500,"Golf@Golf 05:00AM ET",81.500,"Golf"
"G","Martin Laird",6500,"Golf@Golf 05:00AM ET",99.000,"Golf"
"G","Ryan Brehm",6500,"Golf@Golf 05:00AM ET",69.250,"Golf"
"G","Zac Blair",6400,"Golf@Golf 05:00AM ET",71.000,"Golf"
"G","Seung-Yul Noh",6400,"Golf@Golf 05:00AM ET",41.500,"Golf"
"G","Kyle Reifers",6400,"Golf@Golf 05:00AM ET",28.000,"Golf"
"G","Trey Mullinax",6400,"Golf@Golf 05:00AM ET",75.250,"Golf"
"G","Martin Flores",6400,"Golf@Golf 05:00AM ET",43.000,"Golf"
"G","Jon Curran",6400,"Golf@Golf 05:00AM ET",67.000,"Golf"
"G","Boo Weekley",6400,"Golf@Golf 05:00AM ET",46.000,"Golf"
"G","Scott Brown",6400,"Golf@Golf 05:00AM ET",65.250,"Golf"
"G","Ollie Schniederjans",6300,"Golf@Golf 05:00AM ET",69.250,"Golf"
"G","Stewart Cink",6300,"Golf@Golf 05:00AM ET",62.000,"Golf"
"G","Jonas Blixt",6300,"Golf@Golf 05:00AM ET",44.000,"Golf"
"G","Nick Watney",6300,"Golf@Golf 05:00AM ET",58.500,"Golf"
"G","Patrick Rodgers",6300,"Golf@Golf 05:00AM ET",29.000,"Golf"
"G","Derek Fathauer",6300,"Golf@Golf 05:00AM ET",40.750,"Golf"
"G","Colt Knost",6300,"Golf@Golf 05:00AM ET",35.500,"Golf"
"G","Blayne Barber",6300,"Golf@Golf 05:00AM ET",50.500,"Golf"
"G","Steven Bowditch",6200,"Golf@Golf 05:00AM ET",33.000,"Golf"
"G","Michael Thompson",6200,"Golf@Golf 05:00AM ET",75.250,"Golf"
"G","Robert Garrigus",6200,"Golf@Golf 05:00AM ET",94.000,"Golf"
"G","Will Wilcox",6200,"Golf@Golf 05:00AM ET",0,"Golf"
"G","Steven Alker",6200,"Golf@Golf 05:00AM ET",49.750,"Golf"
"G","Adam Hadwin",6200,"Golf@Golf 05:00AM ET",117.500,"Golf"
"G","Grayson Murray",6200,"Golf@Golf 05:00AM ET",90.500,"Golf"
"G","Tyrone Van Aswegen",6200,"Golf@Golf 05:00AM ET",35.250,"Golf"
"G","Spencer Levin",6200,"Golf@Golf 05:00AM ET",34.750,"Golf"
"G","D.A. Points",6200,"Golf@Golf 05:00AM ET",61.000,"Golf"
"G","Miguel Angel Carballo",6100,"Golf@Golf 05:00AM ET",47.750,"Golf"
"G","Rory Sabbatini",6100,"Golf@Golf 05:00AM ET",78.750,"Golf"
